sample,fastq_1,fastq_2
SRR6357070,testdata/GSE110004/SRR6357070_1.fastq.gz,testdata/GSE110004/SRR6357070_2.fastq.gz
SRR6357071,testdata/GSE110004/SRR6357071_1.fastq.gz,testdata/GSE110004/SRR6357071_2.fastq.gz
